filename	 open/close count	 read count	 read bytes	 write count	 write bytes
final/m101_uncorrected.fits	5	15362	136811264	4763	39602880
projdir/hdu0_2mass-atlas-990214n-j1180256.fits	21	2584	21098880	512	4181760
diffdir/diff.000004.000005.fits	3	66	516480	62	492480
corrdir/hdu0_2mass-atlas-990214n-j1100256_area.fits	2	520	4244608	517	4222080
diffdir/diff.000002.000003.fits	3	66	516480	62	492480
diffdir/diff.000000.000009_area.fits	1	3	15872	31	239040
images-rawdir.tbl	4	5	15653	11	10413
projdir/hdu0_2mass-atlas-990214n-j1100256_area.fits	15	2084	17011968	517	4222080
projdir/hdu0_2mass-atlas-990214n-j1180256_area.fits	19	2580	21070464	512	4181760
projdir/hdu0_2mass-atlas-990214n-j1200244.fits	18	2616	21365376	519	4239360
corrdir/hdu0_2mass-atlas-990214n-j1110021_area.fits	3	518	4234368	514	4199040
diffs.tbl	3	12	29684	18	2307
images.tbl	8	19	59373	11	10523
projdir/hdu0_2mass-atlas-990214n-j1190032_area.fits	19	2596	21244862	515	4210560
corrdir/hdu0_2mass-atlas-990214n-j1180244.fits	3	517	4224384	513	4190400
diffdir/diff.000002.000005.fits	3	66	523136	62	498240
final/m101_mosaic_area.fits	1	0	0	4763	39602880
rawdir/2mass-atlas-990214n-j1200244.fits	8	278	2264896	0	0
projdir/hdu0_2mass-atlas-990214n-j1180244.fits	29	3623	29594560	513	4190400
diffdir/diff.000001.000003.fits	3	24	184448	20	155520
corrdir/hdu0_2mass-atlas-990214n-j1110032_area.fits	3	518	4234368	514	4199040
diffdir/diff.000004.000007_area.fits	1	3	10112	30	236160
diffdir/diff.000001.000008.fits	3	69	546432	65	518400
diffdir/diff.000004.000005_area.fits	1	3	14848	62	492480
projdir/hdu0_2mass-atlas-990214n-j1180244_area.fits	27	3619	29565696	513	4190400
corrdir/hdu0_2mass-atlas-990214n-j1200244_area.fits	2	520	4251648	0	0
diffdir/diff.000001.000005.fits	3	25	199296	21	161280
corrdir/hdu0_2mass-atlas-990214n-j1190021_area.fits	3	519	4239488	515	4210560
diffdir/diff.000001.000006_area.fits	1	3	12672	65	524160
corrections.tbl	2	3	1212	1	606
projdir/hdu0_2mass-atlas-990214n-j1190021.fits	29	3637	29779712	515	4210560
diffdir/diff.000002.000005_area.fits	1	3	9984	62	498240
projdir/hdu0_2mass-atlas-990214n-j1200256.fits	17	2088	17039744	517	4222080
corrdir/hdu0_2mass-atlas-990214n-j1190021.fits	3	519	4239488	515	4210560
template.hdr	179	271	56922	0	0
stats.tbl	1	0	0	1	1040
rawdir/2mass-atlas-990214n-j1200256.fits	8	278	2264896	0	0
diffdir/diff.000004.000007.fits	3	34	261248	30	236160
final/m101_uncorrected.jpg	1	0	0	89	728439
corrdir/hdu0_2mass-atlas-990214n-j1200256_area.fits	3	521	4252800	517	4222080
fits.tbl	2	5	19500	18	5238
projdir/hdu0_2mass-atlas-990214n-j1110021.fits	29	3630	29662208	514	4199040
corrdir/hdu0_2mass-atlas-990214n-j1190032_area.fits	3	519	4239488	515	4210560
rawdir/2mass-atlas-990214n-j1180244.fits	8	278	2264896	0	0
corrdir/hdu0_2mass-atlas-990214n-j1190032.fits	3	519	4239488	515	4210560
projdir/hdu0_2mass-atlas-990214n-j1110032.fits	21	2597	21217152	1033	8438400
rawdir/2mass-atlas-990214n-j1100244.fits	8	278	2264896	0	0
diffdir/diff.000002.000003_area.fits	1	3	14848	62	492480
