# darshan log version: 3.21
# compression method: ZLIB
# exe: /scratch1/06058/iwang/benchmarks/specfem3d/tinytest_rtx_8_adios_darshan/bin/xmeshfem3D 
# uid: 853572
# jobid: 2172550
# start_time: 1608328864
# start_time_asci: Fri Dec 18 16:01:04 2020
# end_time: 1608328899
# end_time_asci: Fri Dec 18 16:01:39 2020
# nprocs: 8
# run time: 36
# metadata: lib_ver = 3.2.1
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 281 bytes (compressed)
# record table: 532 bytes (compressed)
# POSIX module: 2192 bytes (compressed), ver=4
# MPI-IO module: 913 bytes (compressed), ver=3
# STDIO module: 178 bytes (compressed), ver=2
# DXT_POSIX module: 14755 bytes (compressed), ver=1
# DXT_MPIIO module: 4407 bytes (compressed), ver=2

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/scratch2	lustre
# mount entry:	/scratch3	lustre
# mount entry:	/scratch1	lustre
# mount entry:	/home1	lustre
# mount entry:	/admin	nfs
# mount entry:	/boot	xfs
# mount entry:	/work	lustre
# mount entry:	/dev	devtmpfs
# mount entry:	/tmp	xfs
# mount entry:	/var	xfs
# mount entry:	/	rootfs
# mount entry:	/	xfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5332043150047334746, file_name: /scratch1/06058/iwang/benchmarks/specfem3d/tinytest_rtx_8_adios_darshan/OUTPUT_FILES/output_mesher.txt
# DXT, rank: 0, hostname: c197-052.frontera.tacc.utexas.edu
# DXT, write_count: 515, read_count: 0
# DXT, mnt_pt: /scratch1, fs_type: lustre
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0               2      0.1436      0.1441
 X_POSIX       0  write        1               2              30      0.1444      0.1444
 X_POSIX       0  write        2              32              30      0.1444      0.1444
 X_POSIX       0  write        3              62              30      0.1444      0.1444
 X_POSIX       0  write        4              92               2      0.1444      0.1445
 X_POSIX       0  write        5              94              16      0.1445      0.1445
 X_POSIX       0  write        6             110               2      0.1445      0.1445
 X_POSIX       0  write        7             112               2      0.3337      0.3337
 X_POSIX       0  write        8             114              39      0.3337      0.3337
 X_POSIX       0  write        9             153              47      0.3337      0.3337
 X_POSIX       0  write       10             200               2      0.3337      0.3337
 X_POSIX       0  write       11             202              57      0.3337      0.3337
 X_POSIX       0  write       12             259              58      0.3337      0.3337
 X_POSIX       0  write       13             317               2      0.3337      0.3338
 X_POSIX       0  write       14             319              55      0.3338      0.3338
 X_POSIX       0  write       15             374              56      0.3338      0.3338
 X_POSIX       0  write       16             430              56      0.3338      0.3338
 X_POSIX       0  write       17             486              51      0.3338      0.3338
 X_POSIX       0  write       18             537              61      0.3338      0.3338
 X_POSIX       0  write       19             598               2      0.3338      0.3338
 X_POSIX       0  write       20             600              22      0.3338      0.3338
 X_POSIX       0  write       21             622              22      0.3338      0.3338
 X_POSIX       0  write       22             644              22      0.3338      0.3338
 X_POSIX       0  write       23             666               2      0.3338      0.3338
 X_POSIX       0  write       24             668              64      0.3338      0.3338
 X_POSIX       0  write       25             732              74      0.3339      0.3339
 X_POSIX       0  write       26             806               2      0.3339      0.3339
 X_POSIX       0  write       27             808              16      0.3339      0.3339
 X_POSIX       0  write       28             824              50      0.3339      0.3339
 X_POSIX       0  write       29             874              29      0.3339      0.3339
 X_POSIX       0  write       30             903              36      0.3339      0.3339
 X_POSIX       0  write       31             939              58      0.3339      0.3339
 X_POSIX       0  write       32             997              26      0.3339      0.3339
 X_POSIX       0  write       33            1023              72      0.3339      0.3339
 X_POSIX       0  write       34            1095               2      0.3339      0.3339
 X_POSIX       0  write       35            1097              40      0.3339      0.3339
 X_POSIX       0  write       36            1137              36      0.3339      0.3340
 X_POSIX       0  write       37            1173              36      0.3340      0.3340
 X_POSIX       0  write       38            1209              33      0.3340      0.3340
 X_POSIX       0  write       39            1242              28      0.3340      0.3340
 X_POSIX       0  write       40            1270              28      0.3340      0.3340
 X_POSIX       0  write       41            1298              32      0.3340      0.3340
 X_POSIX       0  write       42            1330               2      0.3340      0.3340
 X_POSIX       0  write       43            1332              68      0.3341      0.3341
 X_POSIX       0  write       44            1400               2      0.3341      0.3341
 X_POSIX       0  write       45            1402              61      0.3341      0.3341
 X_POSIX       0  write       46            1463              34      0.3346      0.3346
 X_POSIX       0  write       47            1497               2      0.3346      0.3346
 X_POSIX       0  write       48            1499               2      0.3746      0.3746
 X_POSIX       0  write       49            1501              26      0.3746      0.3746
 X_POSIX       0  write       50            1527              61     16.6767     16.6768
 X_POSIX       0  write       51            1588               2     17.0181     17.0181
 X_POSIX       0  write       52            1590              39     17.0181     17.0181
 X_POSIX       0  write       53            1629               2     17.0181     17.0181
 X_POSIX       0  write       54            1631              81     17.0603     17.0604
 X_POSIX       0  write       55            1712               5     17.0604     17.0604
 X_POSIX       0  write       56            1717               2     17.0604     17.0604
 X_POSIX       0  write       57            1719               2     17.0667     17.0667
 X_POSIX       0  write       58            1721              31     17.0667     17.0667
 X_POSIX       0  write       59            1752               2     17.0667     17.0667
 X_POSIX       0  write       60            1754               7     17.0667     17.0667
 X_POSIX       0  write       61            1761              25     17.0667     17.0667
 X_POSIX       0  write       62            1786              57     17.0667     17.0668
 X_POSIX       0  write       63            1843               2     17.0668     17.0668
 X_POSIX       0  write       64            1845              30     17.0668     17.0668
 X_POSIX       0  write       65            1875              62     17.0668     17.0668
 X_POSIX       0  write       66            1937               2     17.0668     17.0668
 X_POSIX       0  write       67            1939               2     17.0668     17.0668
 X_POSIX       0  write       68            1941              28     17.2641     17.2641
 X_POSIX       0  write       69            1969              74     17.2641     17.2641
 X_POSIX       0  write       70            2043              42     17.2641     17.2641
 X_POSIX       0  write       71            2085               2     17.2641     17.2641
 X_POSIX       0  write       72            2087              41     17.2641     17.2641
 X_POSIX       0  write       73            2128              41     17.2641     17.2641
 X_POSIX       0  write       74            2169              41     17.2642     17.2642
 X_POSIX       0  write       75            2210              41     17.2642     17.2642
 X_POSIX       0  write       76            2251              41     17.2642     17.2642
 X_POSIX       0  write       77            2292              41     17.2642     17.2642
 X_POSIX       0  write       78            2333              41     17.2642     17.2642
 X_POSIX       0  write       79            2374              41     17.2642     17.2642
 X_POSIX       0  write       80            2415              41     17.2642     17.2642
 X_POSIX       0  write       81            2456              41     17.2642     17.2642
 X_POSIX       0  write       82            2497              41     17.2642     17.2642
 X_POSIX       0  write       83            2538              31     17.2642     17.2642
 X_POSIX       0  write       84            2569               2     17.2642     17.2642
 X_POSIX       0  write       85            2571              40     17.2642     17.2642
 X_POSIX       0  write       86            2611               2     17.2642     17.2642
 X_POSIX       0  write       87            2613              18     17.2642     17.2643
 X_POSIX       0  write       88            2631              33     17.2643     17.2643
 X_POSIX       0  write       89            2664              50     17.2643     17.2643
 X_POSIX       0  write       90            2714               2     17.2643     17.2643
 X_POSIX       0  write       91            2716              41     17.2643     17.2643
 X_POSIX       0  write       92            2757              41     17.2643     17.2643
 X_POSIX       0  write       93            2798               2     17.2643     17.2643
 X_POSIX       0  write       94            2800               2     17.2708     17.2709
 X_POSIX       0  write       95            2802              45     17.2709     17.2709
 X_POSIX       0  write       96            2847              38     17.2709     17.2709
 X_POSIX       0  write       97            2885              37     17.2709     17.2709
 X_POSIX       0  write       98            2922              45     17.2709     17.2709
 X_POSIX       0  write       99            2967               2     17.2709     17.2709
 X_POSIX       0  write      100            2969               2     17.2773     17.2773
 X_POSIX       0  write      101            2971              12     17.2773     17.2773
 X_POSIX       0  write      102            2983               2     17.2891     17.2892
 X_POSIX       0  write      103            2985              25     17.2892     17.2892
 X_POSIX       0  write      104            3010               2     17.3442     17.3443
 X_POSIX       0  write      105            3012              25     17.3443     17.3443
 X_POSIX       0  write      106            3037               2     17.3889     17.3889
 X_POSIX       0  write      107            3039              30     17.3889     17.3889
 X_POSIX       0  write      108            3069              51     17.3890     17.3890
 X_POSIX       0  write      109            3120              67     17.6888     17.6888
 X_POSIX       0  write      110            3187              51     17.6888     17.6888
 X_POSIX       0  write      111            3238              67     17.7745     17.7745
 X_POSIX       0  write      112            3305              51     17.7745     17.7745
 X_POSIX       0  write      113            3356              67     17.7749     17.7749
 X_POSIX       0  write      114            3423              51     17.7749     17.7749
 X_POSIX       0  write      115            3474              67     17.7796     17.7796
 X_POSIX       0  write      116            3541              51     17.7796     17.7796
 X_POSIX       0  write      117            3592              67     17.7931     17.7931
 X_POSIX       0  write      118            3659              51     17.7931     17.7932
 X_POSIX       0  write      119            3710              67     17.8367     17.8367
 X_POSIX       0  write      120            3777              51     17.8367     17.8367
 X_POSIX       0  write      121            3828              67     17.8602     17.8602
 X_POSIX       0  write      122            3895              51     17.8602     17.8602
 X_POSIX       0  write      123            3946              67     17.9071     17.9071
 X_POSIX       0  write      124            4013              51     17.9071     17.9071
 X_POSIX       0  write      125            4064              67     17.9521     17.9521
 X_POSIX       0  write      126            4131              51     17.9521     17.9521
 X_POSIX       0  write      127            4182              67     18.2913     18.2913
 X_POSIX       0  write      128            4249               2     18.2913     18.2914
 X_POSIX       0  write      129            4251               2     18.2914     18.2914
 X_POSIX       0  write      130            4253              33     18.2914     18.2914
 X_POSIX       0  write      131            4286               2     18.4609     18.4609
 X_POSIX       0  write      132            4288              27     18.4609     18.4609
 X_POSIX       0  write      133            4315               2     18.5061     18.5061
 X_POSIX       0  write      134            4317              13     18.5061     18.5061
 X_POSIX       0  write      135            4330               2     18.5065     18.5065
 X_POSIX       0  write      136            4332              25     18.5065     18.5065
 X_POSIX       0  write      137            4357               2     18.5457     18.5458
 X_POSIX       0  write      138            4359              25     18.5458     18.5458
 X_POSIX       0  write      139            4384               2     18.5490     18.5490
 X_POSIX       0  write      140            4386              30     18.5490     18.5490
 X_POSIX       0  write      141            4416              51     18.5490     18.5490
 X_POSIX       0  write      142            4467              67     21.3772     21.3772
 X_POSIX       0  write      143            4534              51     21.3773     21.3773
 X_POSIX       0  write      144            4585              67     22.1805     22.1805
 X_POSIX       0  write      145            4652              51     22.1805     22.1805
 X_POSIX       0  write      146            4703              67     22.2653     22.2654
 X_POSIX       0  write      147            4770              51     22.2654     22.2654
 X_POSIX       0  write      148            4821              67     23.4665     23.4665
 X_POSIX       0  write      149            4888              51     23.4665     23.4665
 X_POSIX       0  write      150            4939              67     25.8989     25.8990
 X_POSIX       0  write      151            5006              51     25.8990     25.8990
 X_POSIX       0  write      152            5057              67     26.6305     26.6306
 X_POSIX       0  write      153            5124              51     26.6306     26.6306
 X_POSIX       0  write      154            5175              67     26.9974     26.9974
 X_POSIX       0  write      155            5242              51     26.9974     26.9974
 X_POSIX       0  write      156            5293              67     27.7373     27.7374
 X_POSIX       0  write      157            5360              51     27.7374     27.7374
 X_POSIX       0  write      158            5411              67     28.4803     28.4803
 X_POSIX       0  write      159            5478              51     28.4803     28.4803
 X_POSIX       0  write      160            5529              67     33.2862     33.2862
 X_POSIX       0  write      161            5596               2     33.2862     33.2862
 X_POSIX       0  write      162            5598               2     33.4952     33.4952
 X_POSIX       0  write      163            5600              32     33.4952     33.4952
 X_POSIX       0  write      164            5632               2     33.5005     33.5006
 X_POSIX       0  write      165            5634              45     33.5006     33.5006
 X_POSIX       0  write      166            5679               2     33.5903     33.5903
 X_POSIX       0  write      167            5681              36     33.5903     33.5903
 X_POSIX       0  write      168            5717              36     33.5903     33.5904
 X_POSIX       0  write      169            5753              36     33.5904     33.5904
 X_POSIX       0  write      170            5789              26     33.5904     33.5904
 X_POSIX       0  write      171            5815               2     33.5904     33.5904
 X_POSIX       0  write      172            5817              49     33.5904     33.5904
 X_POSIX       0  write      173            5866              49     33.5904     33.5904
 X_POSIX       0  write      174            5915              35     33.5904     33.5904
 X_POSIX       0  write      175            5950               2     33.5904     33.5904
 X_POSIX       0  write      176            5952              51     33.5904     33.5904
 X_POSIX       0  write      177            6003              51     33.5904     33.5904
 X_POSIX       0  write      178            6054               2     33.5904     33.5905
 X_POSIX       0  write      179            6056              50     33.5905     33.5905
 X_POSIX       0  write      180            6106              62     33.5905     33.5905
 X_POSIX       0  write      181            6168              54     33.5905     33.5905
 X_POSIX       0  write      182            6222               2     33.5905     33.5905
 X_POSIX       0  write      183            6224              33     33.5905     33.5905
 X_POSIX       0  write      184            6257              55     33.5905     33.5905
 X_POSIX       0  write      185            6312              36     33.5905     33.5905
 X_POSIX       0  write      186            6348               2     33.5905     33.5905
 X_POSIX       0  write      187            6350               2     33.5905     33.5905
 X_POSIX       0  write      188            6352              28     33.5905     33.5905
 X_POSIX       0  write      189            6380               2     33.5922     33.5922
 X_POSIX       0  write      190            6382              29     33.5922     33.5922
 X_POSIX       0  write      191            6411               2     33.5922     33.5922
 X_POSIX       0  write      192            6413              36     33.5922     33.5922
 X_POSIX       0  write      193            6449               2     33.5922     33.5922
