# darshan log version: 3.21
# compression method: ZLIB
# exe: ./conflict_app
# uid: 1000
# jobid: 178
# start_time: 1607906702
# start_time_asci: Sun Dec 13 14:45:02 2020
# end_time: 1607906703
# end_time_asci: Sun Dec 13 14:45:03 2020
# nprocs: 2
# run time: 2
# metadata: lib_ver = 3.2.1
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 154 bytes (compressed)
# record table: 124 bytes (compressed)
# POSIX module: 165 bytes (compressed), ver=4
# MPI-IO module: 121 bytes (compressed), ver=3
# STDIO module: 71 bytes (compressed), ver=2
# DXT_POSIX module: 513 bytes (compressed), ver=1
# DXT_MPIIO module: 306 bytes (compressed), ver=2

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/fs/cgroup/unified	cgroup2
# mount entry:	/mnt/c	9p
# mount entry:	/init	9p
# mount entry:	/dev	devtmpfs
# mount entry:	/	ext4

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 13200110357831048887, file_name: /mnt/c/Ed/UI/Research/Darshan/conflict_app.out.WAW.MPIIO.MSG
# DXT, rank: 0, hostname: XPS13
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /mnt/c, fs_type: 9p
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0          524288      1.0243      1.0298
 X_POSIX       0  write        1          524288          524288      1.0366      1.0426
 X_POSIX       0  write        2         1048576          524288      1.0482      1.0520
 X_POSIX       0  write        3         1572864          524288      1.0581      1.0639
 X_POSIX       0  write        4         2097152          524288      1.0706      1.0774
 X_POSIX       0  write        5         2621440          524288      1.0845      1.0904
 X_POSIX       0  write        6         3145728          524288      1.0979      1.1042
 X_POSIX       0  write        7         3670016          524288      1.1110      1.1168
 X_POSIX       0  write        8         4194304          524288      1.1235      1.1305
 X_POSIX       0  write        9         4718592          524288      1.1371      1.1442
 X_POSIX       0   read        0               0          524288      1.0060      1.0242
 X_POSIX       0   read        1          524288          524288      1.0308      1.0365
 X_POSIX       0   read        2         1048576          524288      1.0434      1.0481
 X_POSIX       0   read        3         1572864          524288      1.0525      1.0580
 X_POSIX       0   read        4         2097152          524288      1.0647      1.0705
 X_POSIX       0   read        5         2621440          524288      1.0786      1.0844
 X_POSIX       0   read        6         3145728          524288      1.0913      1.0978
 X_POSIX       0   read        7         3670016          524288      1.1051      1.1110
 X_POSIX       0   read        8         4194304          524288      1.1176      1.1234
 X_POSIX       0   read        9         4718592          524288      1.1313      1.1370

# DXT, file_id: 13200110357831048887, file_name: /mnt/c/Ed/UI/Research/Darshan/conflict_app.out.WAW.MPIIO.MSG
